"site","plot","date","transect","individual","plantid","siliquesnumber","comments"
1,4,20180604,2,8,"SC-01-4-2-8-20180604",48,""
1,5,20180604,1,1,"SC-01-5-1-1-20180604",26,""
1,5,20180604,1,2,"SC-01-5-1-2-20180604",12,""
1,5,20180604,1,3,"SC-01-5-1-3-20180604",51,""
1,5,20180604,1,4,"SC-01-5-1-4-20180604",64,""
1,5,20180604,1,5,"SC-01-5-1-5-20180604",12,""
1,5,20180604,1,6,"SC-01-5-1-6-20180604",173,""
1,5,20180604,2,1,"SC-01-5-2-1-20180604",127,""
1,5,20180604,2,2,"SC-01-5-2-2-20180604",22,""
1,5,20180604,2,3,"SC-01-5-2-3-20180604",93,""
1,5,20180604,2,4,"SC-01-5-2-4-20180604",58,""
1,5,20180604,2,5,"SC-01-5-2-5-20180604",153,""
1,5,20180604,2,6,"SC-01-5-2-6-20180604",5,""
1,5,20180604,2,7,"SC-01-5-2-7-20180604",22,""
1,6,20180604,1,1,"SC-01-6-1-1-20180604",88,""
1,6,20180604,1,2,"SC-01-6-1-2-20180604",379,""
1,6,20180604,1,3,"SC-01-6-1-3-20180604",10,""
1,6,20180604,1,4,"SC-01-6-1-4-20180604",66,""
1,6,20180604,1,5,"SC-01-6-1-5-20180604",12,""
1,6,20180604,1,6,"SC-01-6-1-6-20180604",21,""
1,6,20180604,1,7,"SC-01-6-1-7-20180604",37,""
1,6,20180604,1,8,"SC-01-6-1-8-20180604",156,""
1,6,20180604,1,9,"SC-01-6-1-9-20180604",73,""
1,6,20180604,1,10,"SC-01-6-1-10-20180604",396,""
1,6,20180604,2,1,"SC-01-6-2-1-20180604",129,""
1,6,20180604,2,2,"SC-01-6-2-2-20180604",44,""
1,6,20180604,2,3,"SC-01-6-2-3-20180604",159,""
1,6,20180604,2,4,"SC-01-6-2-4-20180604",34,""
1,6,20180604,2,5,"SC-01-6-2-5-20180604",41,""
1,6,20180604,2,6,"SC-01-6-2-6-20180604",6,""
1,6,20180604,2,7,"SC-01-6-2-7-20180604",28,""
1,6,20180604,2,8,"SC-01-6-2-8-20180604",498,""
1,7,20180611,1,1,"SC-01-7-1-1-20180611",436,"Continued one week later from here"
1,7,20180611,1,2,"SC-01-7-1-2-20180611",28,""
1,7,20180611,1,3,"SC-01-7-1-3-20180611",190,""
1,7,20180611,1,4,"SC-01-7-1-4-20180611",70,""
1,7,20180611,1,5,"SC-01-7-1-5-20180611",535,""
1,7,20180611,1,6,"SC-01-7-1-6-20180611",66,""
1,7,20180611,1,7,"SC-01-7-1-7-20180611",455,""
1,7,20180611,1,8,"SC-01-7-1-8-20180611",145,""
1,7,20180611,1,9,"SC-01-7-1-9-20180611",536,""
1,7,20180611,2,1,"SC-01-7-2-1-20180611",80,""
1,7,20180611,2,2,"SC-01-7-2-2-20180611",37,""
1,7,20180611,2,3,"SC-01-7-2-3-20180611",17,""
1,7,20180611,2,4,"SC-01-7-2-4-20180611",375,""
1,7,20180611,2,5,"SC-01-7-2-5-20180611",114,""
1,7,20180611,2,6,"SC-01-7-2-6-20180611",201,""
1,7,20180611,2,7,"SC-01-7-2-7-20180611",158,""
1,7,20180611,2,8,"SC-01-7-2-8-20180611",226,""
1,7,20180611,2,9,"SC-01-7-2-9-20180611",97,""
1,7,20180611,2,10,"SC-01-7-2-10-20180611",538,""
1,8,20180611,1,1,"SC-01-8-1-1-20180611",33,""
1,8,20180611,1,2,"SC-01-8-1-2-20180611",183,""
1,8,20180611,1,3,"SC-01-8-1-3-20180611",221,""
1,8,20180611,1,4,"SC-01-8-1-4-20180611",68,""
1,8,20180611,1,5,"SC-01-8-1-5-20180611",248,""
1,8,20180611,1,6,"SC-01-8-1-6-20180611",49,""
1,8,20180611,1,7,"SC-01-8-1-7-20180611",124,""
1,8,20180611,1,8,"SC-01-8-1-8-20180611",53,""
1,8,20180611,1,9,"SC-01-8-1-9-20180611",80,""
1,8,20180611,1,10,"SC-01-8-1-10-20180611",157,""
1,8,20180611,2,1,"SC-01-8-2-1-20180611",175,""
1,8,20180611,2,2,"SC-01-8-2-2-20180611",12,""
1,8,20180611,2,3,"SC-01-8-2-3-20180611",109,""
1,8,20180611,2,4,"SC-01-8-2-4-20180611",46,""
1,8,20180611,2,5,"SC-01-8-2-5-20180611",224,""
1,8,20180611,2,6,"SC-01-8-2-6-20180611",163,""
1,8,20180611,2,7,"SC-01-8-2-7-20180611",26,""
1,8,20180611,2,8,"SC-01-8-2-8-20180611",7,""
1,8,20180611,2,9,"SC-01-8-2-9-20180611",86,""
1,8,20180611,2,10,"SC-01-8-2-10-20180611",665,""
1,9,20180611,1,1,"SC-01-9-1-1-20180611",35,""
1,9,20180611,1,2,"SC-01-9-1-2-20180611",246,""
1,9,20180611,1,3,"SC-01-9-1-3-20180611",229,""
1,9,20180611,1,4,"SC-01-9-1-4-20180611",53,""
1,9,20180611,1,5,"SC-01-9-1-5-20180611",6,""
1,9,20180611,1,6,"SC-01-9-1-6-20180611",36,""
1,9,20180611,2,1,"SC-01-9-2-1-20180611",3,""
1,9,20180611,2,2,"SC-01-9-2-2-20180611",137,""
1,9,20180611,2,3,"SC-01-9-2-3-20180611",239,""
1,10,20180611,1,1,"SC-01-10-1-1-20180611",134,""
1,10,20180611,1,2,"SC-01-10-1-2-20180611",5,""
1,10,20180611,1,3,"SC-01-10-1-3-20180611",101,""
1,10,20180611,1,4,"SC-01-10-1-4-20180611",51,""
1,10,20180611,1,5,"SC-01-10-1-5-20180611",3,""
1,10,20180611,1,6,"SC-01-10-1-6-20180611",94,""
1,10,20180611,1,7,"SC-01-10-1-7-20180611",11,""
1,10,20180611,1,8,"SC-01-10-1-8-20180611",62,""
1,10,20180611,1,9,"SC-01-10-1-9-20180611",166,""
1,10,20180611,1,10,"SC-01-10-1-10-20180611",20,""
1,10,20180611,1,11,"SC-01-10-1-11-20180611",34,""
1,10,20180611,1,12,"SC-01-10-1-12-20180611",20,""
1,10,20180611,1,13,"SC-01-10-1-13-20180611",7,""
1,10,20180611,2,1,"SC-01-10-2-1-20180611",267,""
1,10,20180611,2,2,"SC-01-10-2-2-20180611",120,""
1,10,20180611,2,3,"SC-01-10-2-3-20180611",29,""
1,10,20180611,2,4,"SC-01-10-2-4-20180611",36,""
1,10,20180611,2,5,"SC-01-10-2-5-20180611",155,""
1,11,20180611,1,1,"SC-01-11-1-1-20180611",8,""
1,11,20180611,1,2,"SC-01-11-1-2-20180611",37,""
1,11,20180611,1,3,"SC-01-11-1-3-20180611",240,""
1,11,20180611,1,4,"SC-01-11-1-4-20180611",6,""
1,11,20180611,1,5,"SC-01-11-1-5-20180611",5,""
1,11,20180611,1,6,"SC-01-11-1-6-20180611",60,""
1,11,20180611,1,7,"SC-01-11-1-7-20180611",302,""
1,11,20180611,1,8,"SC-01-11-1-8-20180611",376,""
1,11,20180611,1,9,"SC-01-11-1-9-20180611",46,""
1,11,20180611,1,10,"SC-01-11-1-10-20180611",126,""
1,11,20180611,1,11,"SC-01-11-1-11-20180611",78,""
1,11,20180611,1,12,"SC-01-11-1-12-20180611",33,""
1,11,20180611,1,13,"SC-01-11-1-13-20180611",212,""
1,11,20180611,2,1,"SC-01-11-2-1-20180611",3,""
1,11,20180611,2,2,"SC-01-11-2-2-20180611",7,""
1,11,20180611,2,3,"SC-01-11-2-3-20180611",65,""
1,11,20180611,2,4,"SC-01-11-2-4-20180611",75,""
1,11,20180611,2,5,"SC-01-11-2-5-20180611",101,""
1,11,20180611,2,6,"SC-01-11-2-6-20180611",8,""
1,11,20180611,2,7,"SC-01-11-2-7-20180611",6,""
1,11,20180611,2,8,"SC-01-11-2-8-20180611",9,""
1,11,20180611,2,9,"SC-01-11-2-9-20180611",26,""
1,11,20180611,2,10,"SC-01-11-2-10-20180611",109,""
1,12,20180611,1,1,"SC-01-12-1-1-20180611",36,""
1,12,20180611,1,2,"SC-01-12-1-2-20180611",59,""
1,12,20180611,1,3,"SC-01-12-1-3-20180611",18,""
1,12,20180611,1,4,"SC-01-12-1-4-20180611",156,""
1,12,20180611,1,5,"SC-01-12-1-5-20180611",12,""
1,12,20180611,1,6,"SC-01-12-1-6-20180611",38,""
1,12,20180611,1,7,"SC-01-12-1-7-20180611",69,""
1,12,20180611,1,8,"SC-01-12-1-8-20180611",105,""
1,12,20180611,1,9,"SC-01-12-1-9-20180611",239,""
1,12,20180611,1,10,"SC-01-12-1-10-20180611",536,""
1,12,20180611,2,1,"SC-01-12-2-1-20180611",52,""
1,12,20180611,2,2,"SC-01-12-2-2-20180611",6,""
1,12,20180611,2,3,"SC-01-12-2-3-20180611",4,""
2,1,20150420,1,1,"SC-02-1-1-1-20150420",37,""
2,1,20150420,1,2,"SC-02-1-1-2-20150420",7,""
2,1,20150420,2,1,"SC-02-1-2-1-20150420",12,""
2,1,20150420,2,2,"SC-02-1-2-2-20150420",6,""
2,1,20150420,2,3,"SC-02-1-2-3-20150420",31,""
2,1,20150420,2,4,"SC-02-1-2-4-20150420",6,""
2,5,20150420,1,1,"SC-02-5-1-1-20150420",7,""
2,5,20150420,1,2,"SC-02-5-1-2-20150420",10,""
2,5,20150420,1,3,"SC-02-5-1-3-20150420",12,""
2,5,20150420,1,4,"SC-02-5-1-4-20150420",7,""
2,5,20150420,1,5,"SC-02-5-1-5-20150420",8,""
2,5,20150420,1,6,"SC-02-5-1-6-20150420",4,""
2,5,20150420,1,7,"SC-02-5-1-7-20150420",16,""
2,5,20150420,1,8,"SC-02-5-1-8-20150420",8,""
2,5,20150420,1,9,"SC-02-5-1-9-20150420",3,""
2,5,20150420,1,10,"SC-02-5-1-10-20150420",4,""
2,5,20150420,1,11,"SC-02-5-1-11-20150420",5,""
2,5,20150420,1,12,"SC-02-5-1-12-20150420",8,""
2,5,20150420,1,13,"SC-02-5-1-13-20150420",7,""
2,5,20150420,1,14,"SC-02-5-1-14-20150420",1,""
2,5,20150420,1,15,"SC-02-5-1-15-20150420",4,""
2,5,20150420,1,16,"SC-02-5-1-16-20150420",4,""
2,5,20150420,1,17,"SC-02-5-1-17-20150420",26,""
2,5,20150420,1,18,"SC-02-5-1-18-20150420",4,""
2,5,20150420,1,19,"SC-02-5-1-19-20150420",28,""
2,5,20150420,2,1,"SC-02-5-2-1-20150420",2,""
2,5,20150420,2,2,"SC-02-5-2-2-20150420",5,""
2,5,20150420,2,3,"SC-02-5-2-3-20150420",4,""
2,5,20150420,2,4,"SC-02-5-2-4-20150420",11,""
2,5,20150420,2,5,"SC-02-5-2-5-20150420",1,""
2,5,20150420,2,6,"SC-02-5-2-6-20150420",5,""
2,5,20150420,2,7,"SC-02-5-2-7-20150420",3,""
2,5,20150420,2,8,"SC-02-5-2-8-20150420",11,""
2,5,20150420,2,9,"SC-02-5-2-9-20150420",3,""
2,5,20150420,2,10,"SC-02-5-2-10-20150420",0,""
2,6,20150420,1,1,"SC-02-6-1-1-20150420",3,""
2,6,20150420,1,2,"SC-02-6-1-2-20150420",3,""
2,6,20150420,1,3,"SC-02-6-1-3-20150420",10,""
2,6,20150420,1,4,"SC-02-6-1-4-20150420",6,""
2,6,20150420,1,5,"SC-02-6-1-5-20150420",4,""
2,6,20150420,1,6,"SC-02-6-1-6-20150420",7,""
2,6,20150420,1,7,"SC-02-6-1-7-20150420",1,""
2,6,20150420,1,8,"SC-02-6-1-8-20150420",8,""
2,6,20150420,2,1,"SC-02-6-2-1-20150420",2,""
2,6,20150420,2,2,"SC-02-6-2-2-20150420",4,""
2,6,20150420,2,3,"SC-02-6-2-3-20150420",6,""
2,6,20150420,2,4,"SC-02-6-2-4-20150420",6,""
2,6,20150420,2,5,"SC-02-6-2-5-20150420",0,""
2,7,20150420,1,1,"SC-02-7-1-1-20150420",12,""
2,7,20150420,1,2,"SC-02-7-1-2-20150420",4,""
2,7,20150420,1,3,"SC-02-7-1-3-20150420",14,""
2,7,20150420,1,4,"SC-02-7-1-4-20150420",3,""
2,7,20150420,2,1,"SC-02-7-2-1-20150420",7,""
2,7,20150420,2,2,"SC-02-7-2-2-20150420",0,""
2,7,20150420,2,3,"SC-02-7-2-3-20150420",2,""
2,7,20150420,2,4,"SC-02-7-2-4-20150420",6,""
2,7,20150420,2,5,"SC-02-7-2-5-20150420",3,""
2,7,20150420,2,6,"SC-02-7-2-6-20150420",4,""
2,8,20150420,1,1,"SC-02-8-1-1-20150420",3,""
2,8,20150420,1,2,"SC-02-8-1-2-20150420",6,""
2,8,20150420,1,3,"SC-02-8-1-3-20150420",11,""
2,8,20150420,1,4,"SC-02-8-1-4-20150420",22,""
2,8,20150420,1,5,"SC-02-8-1-5-20150420",27,""
2,8,20150420,1,6,"SC-02-8-1-6-20150420",5,""
2,8,20150420,1,7,"SC-02-8-1-7-20150420",7,""
2,8,20150420,1,8,"SC-02-8-1-8-20150420",5,""
2,8,20150420,1,9,"SC-02-8-1-9-20150420",5,""
2,8,20150420,1,10,"SC-02-8-1-10-20150420",9,""
2,8,20150420,2,1,"SC-02-8-2-1-20150420",2,""
2,8,20150420,2,2,"SC-02-8-2-2-20150420",3,""
2,8,20150420,2,3,"SC-02-8-2-3-20150420",7,""
2,8,20150420,2,4,"SC-02-8-2-4-20150420",3,""
2,8,20150420,2,5,"SC-02-8-2-5-20150420",3,""
2,8,20150420,2,6,"SC-02-8-2-6-20150420",8,""
2,8,20150420,2,7,"SC-02-8-2-7-20150420",22,""
2,9,20150420,1,1,"SC-02-9-1-1-20150420",13,""
2,9,20150420,1,2,"SC-02-9-1-2-20150420",10,""
2,9,20150420,1,3,"SC-02-9-1-3-20150420",8,""
2,9,20150420,1,4,"SC-02-9-1-4-20150420",2,""
2,9,20150420,2,1,"SC-02-9-2-1-20150420",2,""
2,9,20150420,2,2,"SC-02-9-2-2-20150420",2,""
2,9,20150420,2,3,"SC-02-9-2-3-20150420",6,""
2,9,20150420,2,4,"SC-02-9-2-4-20150420",8,""
2,9,20150420,2,5,"SC-02-9-2-5-20150420",5,""
2,9,20150420,2,6,"SC-02-9-2-6-20150420",3,""
2,9,20150420,2,7,"SC-02-9-2-7-20150420",8,""
2,11,20150420,1,1,"SC-02-11-1-1-20150420",1,""
2,11,20150420,1,2,"SC-02-11-1-2-20150420",0,""
2,11,20150420,2,1,"SC-02-11-2-1-20150420",11,""
2,11,20150420,2,2,"SC-02-11-2-2-20150420",0,""
2,12,20150420,1,1,"SC-02-12-1-1-20150420",9,""
2,12,20150420,1,2,"SC-02-12-1-2-20150420",4,""
2,12,20150420,2,1,"SC-02-12-2-1-20150420",3,""
2,12,20150420,2,2,"SC-02-12-2-2-20150420",18,""
2,12,20150420,2,3,"SC-02-12-2-3-20150420",8,""
2,13,20150420,1,1,"SC-02-13-1-1-20150420",6,""
2,13,20150420,1,2,"SC-02-13-1-2-20150420",0,""
2,13,20150420,1,3,"SC-02-13-1-3-20150420",3,""
2,13,20150420,1,4,"SC-02-13-1-4-20150420",3,""
2,13,20150420,1,5,"SC-02-13-1-5-20150420",7,""
2,13,20150420,1,6,"SC-02-13-1-6-20150420",4,""
2,13,20150420,2,1,"SC-02-13-2-1-20150420",4,""
2,13,20150420,2,2,"SC-02-13-2-2-20150420",2,""
2,13,20150420,2,3,"SC-02-13-2-3-20150420",8,""
2,13,20150420,2,4,"SC-02-13-2-4-20150420",1,""
2,13,20150420,2,5,"SC-02-13-2-5-20150420",5,""
2,13,20150420,2,6,"SC-02-13-2-6-20150420",5,""
2,14,20150420,1,1,"SC-02-14-1-1-20150420",23,""
2,14,20150420,1,2,"SC-02-14-1-2-20150420",2,""
2,14,20150420,1,3,"SC-02-14-1-3-20150420",9,""
2,14,20150420,1,4,"SC-02-14-1-4-20150420",3,""
2,14,20150420,1,5,"SC-02-14-1-5-20150420",9,""
2,14,20150420,1,6,"SC-02-14-1-6-20150420",3,""
2,14,20150420,1,7,"SC-02-14-1-7-20150420",14,""
2,14,20150420,1,8,"SC-02-14-1-8-20150420",29,""
2,14,20150420,1,9,"SC-02-14-1-9-20150420",1,""
2,14,20150420,1,10,"SC-02-14-1-10-20150420",5,""
2,14,20150420,2,1,"SC-02-14-2-1-20150420",3,""
2,14,20150420,2,2,"SC-02-14-2-2-20150420",4,""
2,14,20150420,2,3,"SC-02-14-2-3-20150420",7,""
2,14,20150420,2,4,"SC-02-14-2-4-20150420",3,""
2,14,20150420,2,5,"SC-02-14-2-5-20150420",10,""
2,14,20150420,2,6,"SC-02-14-2-6-20150420",7,""
2,14,20150420,2,7,"SC-02-14-2-7-20150420",6,""
2,14,20150420,2,8,"SC-02-14-2-8-20150420",6,""
2,14,20150420,2,9,"SC-02-14-2-9-20150420",6,""
2,14,20150420,2,10,"SC-02-14-2-10-20150420",4,""
2,14,20150420,2,11,"SC-02-14-2-11-20150420",4,""
2,16,20150420,1,1,"SC-02-16-1-1-20150420",2,""
2,16,20150420,1,2,"SC-02-16-1-2-20150420",0,""
2,16,20150420,1,3,"SC-02-16-1-3-20150420",3,""
2,16,20150420,2,1,"SC-02-16-2-1-20150420",4,""
2,16,20150420,2,2,"SC-02-16-2-2-20150420",2,""
2,16,20150420,2,3,"SC-02-16-2-3-20150420",3,""
2,16,20150420,2,4,"SC-02-16-2-4-20150420",9,""
2,18,20150420,1,1,"SC-02-18-1-1-20150420",12,""
2,18,20150420,1,2,"SC-02-18-1-2-20150420",17,""
2,18,20150420,1,3,"SC-02-18-1-3-20150420",2,""
2,18,20150420,1,4,"SC-02-18-1-4-20150420",7,""
2,18,20150420,1,5,"SC-02-18-1-5-20150420",3,""
2,18,20150420,1,6,"SC-02-18-1-6-20150420",0,""
2,18,20150420,1,7,"SC-02-18-1-7-20150420",9,""
2,18,20150420,1,8,"SC-02-18-1-8-20150420",19,""
2,18,20150420,2,1,"SC-02-18-2-1-20150420",4,""
2,18,20150420,2,2,"SC-02-18-2-2-20150420",1,""
2,18,20150420,2,3,"SC-02-18-2-3-20150420",7,""
2,18,20150420,2,4,"SC-02-18-2-4-20150420",2,""
2,18,20150420,2,5,"SC-02-18-2-5-20150420",5,""
2,18,20150420,2,6,"SC-02-18-2-6-20150420",5,""
2,18,20150420,2,7,"SC-02-18-2-7-20150420",4,""
4,1,20180403,1,1,"SC-4-1-1-1-20180403",11,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,2,"SC-4-1-1-2-20180403",6,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,3,"SC-4-1-1-3-20180403",12,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,4,"SC-4-1-1-4-20180403",6,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,5,"SC-4-1-1-5-20180403",3,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,6,"SC-4-1-1-6-20180403",2,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,7,"SC-4-1-1-7-20180403",2,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,8,"SC-4-1-1-8-20180403",2,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,9,"SC-4-1-1-9-20180403",4,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,10,"SC-4-1-1-10-20180403",5,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,11,"SC-4-1-1-11-20180403",3,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,12,"SC-4-1-1-12-20180403",12,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,13,"SC-4-1-1-13-20180403",7,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,14,"SC-4-1-1-14-20180403",6,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,15,"SC-4-1-1-15-20180403",5,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,16,"SC-4-1-1-16-20180403",5,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,17,"SC-4-1-1-17-20180403",3,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,18,"SC-4-1-1-18-20180403",3,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,19,"SC-4-1-1-19-20180403",2,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,20,"SC-4-1-1-20-20180403",7,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,21,"SC-4-1-1-21-20180403",5,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,22,"SC-4-1-1-22-20180403",6,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,23,"SC-4-1-1-23-20180403",4,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,24,"SC-4-1-1-24-20180403",4,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,25,"SC-4-1-1-25-20180403",3,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,26,"SC-4-1-1-26-20180403",2,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,27,"SC-4-1-1-27-20180403",5,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,28,"SC-4-1-1-28-20180403",6,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,29,"SC-4-1-1-29-20180403",6,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,30,"SC-4-1-1-30-20180403",3,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,31,"SC-4-1-1-31-20180403",7,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,32,"SC-4-1-1-32-20180403",8,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,33,"SC-4-1-1-33-20180403",2,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,34,"SC-4-1-1-34-20180403",5,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,35,"SC-4-1-1-35-20180403",2,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,36,"SC-4-1-1-36-20180403",5,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
4,1,20180403,1,37,"SC-4-1-1-37-20180403",3,"Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size."
