"site","contactname","experimentstartdate","sitename","longitude","latitude","altitude","timezone","survivalyear","country"
46,"Arthur Korte","20171013","Botanical Garden of the University of Wuerzburg",9.933494,49.764978,197,"(UTC+01:00) Europe/Berlin",NA,"Germany"
47,"Karin Koehl","20171009","Managed field site MPI-MP Golm",13.066667,52.4,32,"(UTC+01:00) Europe/Berlin",0,"Germany"
48,"Steve Keller",NA,"University of Vermont",-73.204257,44.431263,68,"(UTC-05:00) America/New_York",NA,"USA"
49,"Marc Stift","20171019","BoGa Konstanz",9.1788,47.6921,460,"(UTC+01:00) Europe/Berlin",NA,"Germany"
50,"John Stinchcombe","20171023","Koffler Scientific Reserve at Jokers Hill",-79.5316,44.0296,315,"(UTC-05:00) America/Toronto",0,"Canada"
51,"John Stinchcombe","20171029","University of Toronto campus",-79.396,43.66328,111,"(UTC-05:00) America/Toronto",0,"Canada"
52,"Walter Durka","20171010","Bad Lauchstaedt",11.87735,51.391832,118,"(UTC+01:00) Europe/Berlin",NA,"Germany"
53,"Marcel Quint","20171010","MLU Halle, Crop Physiology",11.932163,51.496912,90,"(UTC+01:00) Europe/Berlin",NA,"Germany"
54,"Juliette de Meaux","20170918","Experimental garden of the University of Cologne",6.936381,50.925398,37,"(UTC+01:00) Europe/Berlin",NA,"Germany"
55,"Irène Till-Bottraud","20170927","Saint Just en Chevalet",3.842508,45.916962,750,"(UTC+01:00) Europe/Paris",NA,"France"
56,"Anne Muola","20171006","Parainen",22.27434199,60.30133134,10,"(UTC+02:00) Europe/Helsinki",0,"Finland"
57,"Martijn van Zanten","20171012","Utrecht University Botanical Garden",5.172565,52.089908,0,"(UTC+01:00) Europe/Amsterdam",NA,"Netherlands"
58,"Jean-Gabriel Valay","20171005","Station alpine Jospeh Fourier, col du Lautaret.",6.399983,45.036433,2100,"(UTC+01:00) Europe/Paris",NA,"France"
60,"Annie Schmitt","20171105","University of California Davis",-121.74051,38.5449,16,"(UTC-08:00) America/Los_Angeles",NA,"USA"
