Measurement,Site,Plot,Date,Transect,Individual,Record_id,Number of siliques counted per plant,Comments
Silique_count,1,12,20180611,1,8,SC-01-12-1-8-20180611,105,
Silique_count,1,12,20180611,1,9,SC-01-12-1-9-20180611,239,
Silique_count,1,12,20180611,1,10,SC-01-12-1-10-20180611,536,
Silique_count,1,12,20180611,2,1,SC-01-12-2-1-20180611,52,
Silique_count,1,12,20180611,2,2,SC-01-12-2-2-20180611,6,
Silique_count,1,12,20180611,2,3,SC-01-12-2-3-20180611,4,
Silique_count,2,1,20150420,1,1,SC-02-1-1-1-20150420,37,
Silique_count,2,1,20150420,1,2,SC-02-1-1-2-20150420,7,
Silique_count,2,1,20150420,2,1,SC-02-1-2-1-20150420,12,
Silique_count,2,1,20150420,2,2,SC-02-1-2-2-20150420,6,
Silique_count,2,1,20150420,2,3,SC-02-1-2-3-20150420,31,
Silique_count,2,1,20150420,2,4,SC-02-1-2-4-20150420,6,
Silique_count,2,5,20150420,1,1,SC-02-5-1-1-20150420,7,
Silique_count,2,5,20150420,1,2,SC-02-5-1-2-20150420,10,
Silique_count,2,5,20150420,1,3,SC-02-5-1-3-20150420,12,
Silique_count,2,5,20150420,1,4,SC-02-5-1-4-20150420,7,
Silique_count,2,5,20150420,1,5,SC-02-5-1-5-20150420,8,
Silique_count,2,5,20150420,1,6,SC-02-5-1-6-20150420,4,
Silique_count,2,5,20150420,1,7,SC-02-5-1-7-20150420,16,
Silique_count,2,5,20150420,1,8,SC-02-5-1-8-20150420,8,
Silique_count,2,5,20150420,1,9,SC-02-5-1-9-20150420,3,
Silique_count,2,5,20150420,1,10,SC-02-5-1-10-20150420,4,
Silique_count,2,5,20150420,1,11,SC-02-5-1-11-20150420,5,
Silique_count,2,5,20150420,1,12,SC-02-5-1-12-20150420,8,
Silique_count,2,5,20150420,1,13,SC-02-5-1-13-20150420,7,
Silique_count,2,5,20150420,1,14,SC-02-5-1-14-20150420,1,
Silique_count,2,5,20150420,1,15,SC-02-5-1-15-20150420,4,
Silique_count,2,5,20150420,1,16,SC-02-5-1-16-20150420,4,
Silique_count,2,5,20150420,1,17,SC-02-5-1-17-20150420,26,
Silique_count,2,5,20150420,1,18,SC-02-5-1-18-20150420,4,
Silique_count,2,5,20150420,1,19,SC-02-5-1-19-20150420,28,
Silique_count,2,5,20150420,2,1,SC-02-5-2-1-20150420,2,
Silique_count,2,5,20150420,2,2,SC-02-5-2-2-20150420,5,
Silique_count,2,5,20150420,2,3,SC-02-5-2-3-20150420,4,
Silique_count,2,5,20150420,2,4,SC-02-5-2-4-20150420,11,
Silique_count,2,5,20150420,2,5,SC-02-5-2-5-20150420,1,
Silique_count,2,5,20150420,2,6,SC-02-5-2-6-20150420,5,
Silique_count,2,5,20150420,2,7,SC-02-5-2-7-20150420,3,
Silique_count,2,5,20150420,2,8,SC-02-5-2-8-20150420,11,
Silique_count,2,5,20150420,2,9,SC-02-5-2-9-20150420,3,
Silique_count,2,5,20150420,2,10,SC-02-5-2-10-20150420,0,
Silique_count,2,6,20150420,1,1,SC-02-6-1-1-20150420,3,
Silique_count,2,6,20150420,1,2,SC-02-6-1-2-20150420,3,
Silique_count,2,6,20150420,1,3,SC-02-6-1-3-20150420,10,
Silique_count,2,6,20150420,1,4,SC-02-6-1-4-20150420,6,
Silique_count,2,6,20150420,1,5,SC-02-6-1-5-20150420,4,
Silique_count,2,6,20150420,1,6,SC-02-6-1-6-20150420,7,
Silique_count,2,6,20150420,1,7,SC-02-6-1-7-20150420,1,
Silique_count,2,6,20150420,1,8,SC-02-6-1-8-20150420,8,
Silique_count,2,6,20150420,2,1,SC-02-6-2-1-20150420,2,
Silique_count,2,6,20150420,2,2,SC-02-6-2-2-20150420,4,
Silique_count,2,6,20150420,2,3,SC-02-6-2-3-20150420,6,
Silique_count,2,6,20150420,2,4,SC-02-6-2-4-20150420,6,
Silique_count,2,6,20150420,2,5,SC-02-6-2-5-20150420,0,
Silique_count,2,7,20150420,1,1,SC-02-7-1-1-20150420,12,
Silique_count,2,7,20150420,1,2,SC-02-7-1-2-20150420,4,
Silique_count,2,7,20150420,1,3,SC-02-7-1-3-20150420,14,
Silique_count,2,7,20150420,1,4,SC-02-7-1-4-20150420,3,
Silique_count,2,7,20150420,2,1,SC-02-7-2-1-20150420,7,
Silique_count,2,7,20150420,2,2,SC-02-7-2-2-20150420,0,
Silique_count,2,7,20150420,2,3,SC-02-7-2-3-20150420,2,
Silique_count,2,7,20150420,2,4,SC-02-7-2-4-20150420,6,
Silique_count,2,7,20150420,2,5,SC-02-7-2-5-20150420,3,
Silique_count,2,7,20150420,2,6,SC-02-7-2-6-20150420,4,
Silique_count,2,8,20150420,1,1,SC-02-8-1-1-20150420,3,
Silique_count,2,8,20150420,1,2,SC-02-8-1-2-20150420,6,
Silique_count,2,8,20150420,1,3,SC-02-8-1-3-20150420,11,
Silique_count,2,8,20150420,1,4,SC-02-8-1-4-20150420,22,
Silique_count,2,8,20150420,1,5,SC-02-8-1-5-20150420,27,
Silique_count,2,8,20150420,1,6,SC-02-8-1-6-20150420,5,
Silique_count,2,8,20150420,1,7,SC-02-8-1-7-20150420,7,
Silique_count,2,8,20150420,1,8,SC-02-8-1-8-20150420,5,
Silique_count,2,8,20150420,1,9,SC-02-8-1-9-20150420,5,
Silique_count,2,8,20150420,1,10,SC-02-8-1-10-20150420,9,
Silique_count,2,8,20150420,2,1,SC-02-8-2-1-20150420,2,
Silique_count,2,8,20150420,2,2,SC-02-8-2-2-20150420,3,
Silique_count,2,8,20150420,2,3,SC-02-8-2-3-20150420,7,
Silique_count,2,8,20150420,2,4,SC-02-8-2-4-20150420,3,
Silique_count,2,8,20150420,2,5,SC-02-8-2-5-20150420,3,
Silique_count,2,8,20150420,2,6,SC-02-8-2-6-20150420,8,
Silique_count,2,8,20150420,2,7,SC-02-8-2-7-20150420,22,
Silique_count,2,9,20150420,1,1,SC-02-9-1-1-20150420,13,
Silique_count,2,9,20150420,1,2,SC-02-9-1-2-20150420,10,
Silique_count,2,9,20150420,1,3,SC-02-9-1-3-20150420,8,
Silique_count,2,9,20150420,1,4,SC-02-9-1-4-20150420,2,
Silique_count,2,9,20150420,2,1,SC-02-9-2-1-20150420,2,
Silique_count,2,9,20150420,2,2,SC-02-9-2-2-20150420,2,
Silique_count,2,9,20150420,2,3,SC-02-9-2-3-20150420,6,
Silique_count,2,9,20150420,2,4,SC-02-9-2-4-20150420,8,
Silique_count,2,9,20150420,2,5,SC-02-9-2-5-20150420,5,
Silique_count,2,9,20150420,2,6,SC-02-9-2-6-20150420,3,
Silique_count,2,9,20150420,2,7,SC-02-9-2-7-20150420,8,
Silique_count,2,11,20150420,1,1,SC-02-11-1-1-20150420,1,
Silique_count,2,11,20150420,1,2,SC-02-11-1-2-20150420,0,
Silique_count,2,11,20150420,2,1,SC-02-11-2-1-20150420,11,
Silique_count,2,11,20150420,2,2,SC-02-11-2-2-20150420,0,
Silique_count,2,12,20150420,1,1,SC-02-12-1-1-20150420,9,
Silique_count,2,12,20150420,1,2,SC-02-12-1-2-20150420,4,
Silique_count,2,12,20150420,2,1,SC-02-12-2-1-20150420,3,
Silique_count,2,12,20150420,2,2,SC-02-12-2-2-20150420,18,
Silique_count,2,12,20150420,2,3,SC-02-12-2-3-20150420,8,
Silique_count,2,13,20150420,1,1,SC-02-13-1-1-20150420,6,
Silique_count,2,13,20150420,1,2,SC-02-13-1-2-20150420,0,
Silique_count,2,13,20150420,1,3,SC-02-13-1-3-20150420,3,
Silique_count,2,13,20150420,1,4,SC-02-13-1-4-20150420,3,
Silique_count,2,13,20150420,1,5,SC-02-13-1-5-20150420,7,
Silique_count,2,13,20150420,1,6,SC-02-13-1-6-20150420,4,
Silique_count,2,13,20150420,2,1,SC-02-13-2-1-20150420,4,
Silique_count,2,13,20150420,2,2,SC-02-13-2-2-20150420,2,
Silique_count,2,13,20150420,2,3,SC-02-13-2-3-20150420,8,
Silique_count,2,13,20150420,2,4,SC-02-13-2-4-20150420,1,
Silique_count,2,13,20150420,2,5,SC-02-13-2-5-20150420,5,
Silique_count,2,13,20150420,2,6,SC-02-13-2-6-20150420,5,
Silique_count,2,14,20150420,1,1,SC-02-14-1-1-20150420,23,
Silique_count,2,14,20150420,1,2,SC-02-14-1-2-20150420,2,
Silique_count,2,14,20150420,1,3,SC-02-14-1-3-20150420,9,
Silique_count,2,14,20150420,1,4,SC-02-14-1-4-20150420,3,
Silique_count,2,14,20150420,1,5,SC-02-14-1-5-20150420,9,
Silique_count,2,14,20150420,1,6,SC-02-14-1-6-20150420,3,
Silique_count,2,14,20150420,1,7,SC-02-14-1-7-20150420,14,
Silique_count,2,14,20150420,1,8,SC-02-14-1-8-20150420,29,
Silique_count,2,14,20150420,1,9,SC-02-14-1-9-20150420,1,
Silique_count,2,14,20150420,1,10,SC-02-14-1-10-20150420,5,
Silique_count,2,14,20150420,2,1,SC-02-14-2-1-20150420,3,
Silique_count,2,14,20150420,2,2,SC-02-14-2-2-20150420,4,
Silique_count,2,14,20150420,2,3,SC-02-14-2-3-20150420,7,
Silique_count,2,14,20150420,2,4,SC-02-14-2-4-20150420,3,
Silique_count,2,14,20150420,2,5,SC-02-14-2-5-20150420,10,
Silique_count,2,14,20150420,2,6,SC-02-14-2-6-20150420,7,
Silique_count,2,14,20150420,2,7,SC-02-14-2-7-20150420,6,
Silique_count,2,14,20150420,2,8,SC-02-14-2-8-20150420,6,
Silique_count,2,14,20150420,2,9,SC-02-14-2-9-20150420,6,
Silique_count,2,14,20150420,2,10,SC-02-14-2-10-20150420,4,
Silique_count,2,14,20150420,2,11,SC-02-14-2-11-20150420,4,
Silique_count,2,16,20150420,1,1,SC-02-16-1-1-20150420,2,
Silique_count,2,16,20150420,1,2,SC-02-16-1-2-20150420,0,
Silique_count,2,16,20150420,1,3,SC-02-16-1-3-20150420,3,
Silique_count,2,16,20150420,2,1,SC-02-16-2-1-20150420,4,
Silique_count,2,16,20150420,2,2,SC-02-16-2-2-20150420,2,
Silique_count,2,16,20150420,2,3,SC-02-16-2-3-20150420,3,
Silique_count,2,16,20150420,2,4,SC-02-16-2-4-20150420,9,
Silique_count,2,18,20150420,1,1,SC-02-18-1-1-20150420,12,
Silique_count,2,18,20150420,1,2,SC-02-18-1-2-20150420,17,
Silique_count,2,18,20150420,1,3,SC-02-18-1-3-20150420,2,
Silique_count,2,18,20150420,1,4,SC-02-18-1-4-20150420,7,
Silique_count,2,18,20150420,1,5,SC-02-18-1-5-20150420,3,
Silique_count,2,18,20150420,1,6,SC-02-18-1-6-20150420,0,
Silique_count,2,18,20150420,1,7,SC-02-18-1-7-20150420,9,
Silique_count,2,18,20150420,1,8,SC-02-18-1-8-20150420,19,
Silique_count,2,18,20150420,2,1,SC-02-18-2-1-20150420,4,
Silique_count,2,18,20150420,2,2,SC-02-18-2-2-20150420,1,
Silique_count,2,18,20150420,2,3,SC-02-18-2-3-20150420,7,
Silique_count,2,18,20150420,2,4,SC-02-18-2-4-20150420,2,
Silique_count,2,18,20150420,2,5,SC-02-18-2-5-20150420,5,
Silique_count,2,18,20150420,2,6,SC-02-18-2-6-20150420,5,
Silique_count,2,18,20150420,2,7,SC-02-18-2-7-20150420,4,
Silique_count,4,1,20180403,1,1,SC-4-1-1-1-20180403,11,Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size.
Silique_count,4,1,20180403,1,2,SC-4-1-1-2-20180403,6,Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size.
Silique_count,4,1,20180403,1,3,SC-4-1-1-3-20180403,12,Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size.
Silique_count,4,1,20180403,1,4,SC-4-1-1-4-20180403,6,Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size.
Silique_count,4,1,20180403,1,5,SC-4-1-1-5-20180403,3,Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size.
Silique_count,4,1,20180403,1,6,SC-4-1-1-6-20180403,2,Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size.
Silique_count,4,1,20180403,1,7,SC-4-1-1-7-20180403,2,Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size.
Silique_count,4,1,20180403,1,8,SC-4-1-1-8-20180403,2,Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size.
Silique_count,4,1,20180403,1,9,SC-4-1-1-9-20180403,4,Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size.
Silique_count,4,1,20180403,1,10,SC-4-1-1-10-20180403,5,Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size.
Silique_count,4,1,20180403,1,11,SC-4-1-1-11-20180403,3,Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size.
Silique_count,4,1,20180403,1,12,SC-4-1-1-12-20180403,12,Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size.
Silique_count,4,1,20180403,1,13,SC-4-1-1-13-20180403,7,Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size.
Silique_count,4,1,20180403,1,14,SC-4-1-1-14-20180403,6,Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size.
Silique_count,4,1,20180403,1,15,SC-4-1-1-15-20180403,5,Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size.
Silique_count,4,1,20180403,1,16,SC-4-1-1-16-20180403,5,Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size.
Silique_count,4,1,20180403,1,17,SC-4-1-1-17-20180403,3,Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size.
Silique_count,4,1,20180403,1,18,SC-4-1-1-18-20180403,3,Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size.
Silique_count,4,1,20180403,1,19,SC-4-1-1-19-20180403,2,Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size.
Silique_count,4,1,20180403,1,20,SC-4-1-1-20-20180403,7,Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size.
Silique_count,4,1,20180403,1,21,SC-4-1-1-21-20180403,5,Transect 1 = diagonal; transect 2 = off-diagonal. Damaged plants excluded (overall not many). All fruits considered as sound despite variation in fruit size.
